1; 0.9501
2; 0.9660
3; 0.9717
4; 0.9748
5; 0.9772
6; 0.9788
7; 0.9803
8; 0.9811
9; 0.9819
10; 0.9829
11; 0.9705
12; 0.9721
13; 0.9735
14; 0.9751
15; 0.9752
16; 0.9759
17; 0.9771
18; 0.9771
19; 0.9786
20; 0.9787
21; 0.9804
22; 0.9809
23; 0.9793
24; 0.9796
25; 0.9800
26; 0.9801
27; 0.9819
28; 0.9821
29; 0.9819
30; 0.9823
31; 0.9822
32; 0.9824
33; 0.9839
34; 0.9840
35; 0.9828
36; 0.9830
37; 0.9827
38; 0.9827
39; 0.9835
40; 0.9839
41; 0.9835
42; 0.9834
43; 0.9839
44; 0.9842
45; 0.9843
46; 0.9845
47; 0.9856
48; 0.9859
49; 0.9853
50; 0.9855
51; 0.9859
52; 0.9861
53; 0.9849
54; 0.9846
55; 0.9856
56; 0.9854
57; 0.9858
58; 0.9859
59; 0.9862
60; 0.9859
61; 0.9861
62; 0.9862
63; 0.9862
64; 0.9862
65; 0.9867
66; 0.9869
67; 0.9862
68; 0.9860
69; 0.9869
70; 0.9873
71; 0.9864
72; 0.9867
73; 0.9866
74; 0.9866
75; 0.9877
76; 0.9881
77; 0.9875
78; 0.9873
79; 0.9863
80; 0.9865
81; 0.9878
82; 0.9880
83; 0.9867
84; 0.9871
85; 0.9881
86; 0.9879
87; 0.9865
88; 0.9867
89; 0.9878
90; 0.9878
91; 0.9883
92; 0.9878
93; 0.9874
94; 0.9876
95; 0.9878
96; 0.9879
97; 0.9882
98; 0.9884
99; 0.9876
100; 0.9878
