1; 0.9702
2; 0.9707
3; 0.9771
4; 0.9784
5; 0.9785
6; 0.9812
7; 0.9805
8; 0.9821
9; 0.9811
10; 0.9836
11; 0.9842
12; 0.9843
13; 0.9820
14; 0.9836
15; 0.9860
16; 0.9853
17; 0.9847
18; 0.9841
19; 0.9883
20; 0.9844
21; 0.9859
22; 0.9848
23; 0.9851
24; 0.9868
25; 0.9872
26; 0.9866
27; 0.9875
28; 0.9885
29; 0.9874
30; 0.9882
31; 0.9895
32; 0.9884
33; 0.9887
34; 0.9886
35; 0.9886
36; 0.9885
37; 0.9885
38; 0.9890
39; 0.9896
40; 0.9887
41; 0.9887
42; 0.9899
43; 0.9885
44; 0.9891
45; 0.9897
46; 0.9885
47; 0.9905
48; 0.9901
49; 0.9914
50; 0.9890
51; 0.9905
52; 0.9905
53; 0.9912
54; 0.9913
55; 0.9904
56; 0.9913
57; 0.9913
58; 0.9903
59; 0.9919
60; 0.9901
61; 0.9921
62; 0.9917
63; 0.9919
64; 0.9895
65; 0.9911
66; 0.9926
67; 0.9896
68; 0.9911
69; 0.9908
70; 0.9911
71; 0.9917
72; 0.9916
73; 0.9906
74; 0.9918
75; 0.9930
76; 0.9918
77; 0.9907
78; 0.9910
79; 0.9915
80; 0.9915
81; 0.9930
82; 0.9914
83; 0.9925
84; 0.9910
85; 0.9916
86; 0.9925
87; 0.9936
88; 0.9930
89; 0.9927
90; 0.9914
91; 0.9931
92; 0.9911
93; 0.9941
94; 0.9926
95; 0.9933
96; 0.9927
97; 0.9926
98; 0.9920
99; 0.9919
100; 0.9919
