1; 0.4313
2; 0.3259
3; 0.2985
4; 0.2815
5; 0.2680
6; 0.2562
7; 0.2458
8; 0.2360
9; 0.2297
10; 0.2229
11; 0.2184
12; 0.2145
13; 0.2100
14; 0.2071
15; 0.2031
16; 0.2000
17; 0.1972
18; 0.1941
19; 0.1916
20; 0.1897
21; 0.1877
22; 0.1841
23; 0.1833
24; 0.1814
25; 0.1793
26; 0.1779
27; 0.1757
28; 0.1736
29; 0.1721
30; 0.1711
31; 0.1692
32; 0.1675
33; 0.1668
34; 0.1650
35; 0.1638
36; 0.1632
37; 0.1614
38; 0.1616
39; 0.1593
40; 0.1598
41; 0.1583
42; 0.1570
43; 0.1564
44; 0.1562
45; 0.1547
46; 0.1539
47; 0.1525
48; 0.1527
49; 0.1516
50; 0.1508
51; 0.1507
52; 0.1488
53; 0.1483
54; 0.1471
55; 0.1470
56; 0.1477
57; 0.1463
58; 0.1451
59; 0.1445
60; 0.1444
61; 0.1430
62; 0.1432
63; 0.1430
64; 0.1422
65; 0.1421
66; 0.1410
67; 0.1396
68; 0.1391
69; 0.1399
70; 0.1394
71; 0.1378
72; 0.1383
73; 0.1378
74; 0.1385
75; 0.1377
76; 0.1362
77; 0.1365
78; 0.1361
79; 0.1355
80; 0.1345
81; 0.1356
82; 0.1347
83; 0.1336
84; 0.1348
85; 0.1340
86; 0.1333
87; 0.1333
88; 0.1317
89; 0.1322
90; 0.1322
91; 0.1315
92; 0.1304
93; 0.1313
94; 0.1298
95; 0.1297
96; 0.1300
97; 0.1289
98; 0.1299
99; 0.1303
100; 0.1294
101; 0.1296
102; 0.1278
103; 0.1280
104; 0.1282
105; 0.1285
106; 0.1276
107; 0.1274
108; 0.1275
109; 0.1272
110; 0.1266
111; 0.1260
112; 0.1251
113; 0.1244
114; 0.1251
115; 0.1244
116; 0.1237
117; 0.1241
118; 0.1232
119; 0.1226
120; 0.1218
121; 0.1228
122; 0.1217
123; 0.1220
124; 0.1219
125; 0.1223
126; 0.1207
127; 0.1210
128; 0.1211
129; 0.1199
130; 0.1196
131; 0.1199
132; 0.1197
133; 0.1207
134; 0.1185
135; 0.1180
136; 0.1184
137; 0.1190
138; 0.1182
139; 0.1186
140; 0.1176
141; 0.1190
142; 0.1171
143; 0.1187
144; 0.1159
145; 0.1172
146; 0.1178
147; 0.1163
148; 0.1172
149; 0.1162
150; 0.1174
151; 0.1173
152; 0.1166
153; 0.1164
154; 0.1167
155; 0.1158
156; 0.1160
157; 0.1170
158; 0.1164
159; 0.1154
160; 0.1152
161; 0.1154
162; 0.1159
163; 0.1153
164; 0.1153
165; 0.1151
166; 0.1152
167; 0.1149
168; 0.1143
169; 0.1149
170; 0.1148
171; 0.1147
172; 0.1139
173; 0.1142
174; 0.1145
175; 0.1142
176; 0.1145
177; 0.1146
178; 0.1146
179; 0.1143
180; 0.1144
181; 0.1128
182; 0.1139
183; 0.1151
184; 0.1129
185; 0.1129
186; 0.1140
187; 0.1135
188; 0.1140
189; 0.1134
190; 0.1133
191; 0.1129
192; 0.1133
193; 0.1132
194; 0.1129
195; 0.1126
196; 0.1133
197; 0.1134
198; 0.1134
199; 0.1130
200; 0.1126
201; 0.1121
202; 0.1127
203; 0.1126
204; 0.1127
205; 0.1123
206; 0.1125
207; 0.1124
208; 0.1125
209; 0.1125
210; 0.1131
211; 0.1120
212; 0.1119
213; 0.1114
214; 0.1122
215; 0.1117
216; 0.1114
217; 0.1117
218; 0.1130
219; 0.1124
220; 0.1115
221; 0.1130
222; 0.1119
223; 0.1109
224; 0.1113
225; 0.1117
226; 0.1122
227; 0.1110
228; 0.1122
229; 0.1117
230; 0.1112
231; 0.1120
232; 0.1117
233; 0.1113
234; 0.1115
235; 0.1113
236; 0.1119
237; 0.1115
238; 0.1124
239; 0.1122
240; 0.1122
241; 0.1129
242; 0.1122
243; 0.1132
244; 0.1125
245; 0.1133
246; 0.1125
247; 0.1131
248; 0.1124
249; 0.1143
250; 0.1137
251; 0.1152
252; 0.1131
253; 0.1120
254; 0.1137
255; 0.1128
256; 0.1121
257; 0.1121
258; 0.1105
259; 0.1112
260; 0.1141
261; 0.1137
262; 0.1145
263; 0.1137
264; 0.1128
265; 0.1115
266; 0.1114
267; 0.1119
268; 0.1131
269; 0.1106
270; 0.1110
271; 0.1125
272; 0.1100
273; 0.1095
274; 0.1123
275; 0.1148
276; 0.1109
277; 0.1105
278; 0.1110
279; 0.1101
280; 0.1124
281; 0.1099
282; 0.1104
283; 0.1112
284; 0.1087
285; 0.1234
286; 0.1156
287; 0.1117
288; 0.1105
289; 0.1090
290; 0.1090
291; 0.1087
292; 0.1110
293; 0.1129
294; 0.1174
295; 0.1136
296; 0.1123
297; 0.1213
298; 0.1264
299; 0.1264
300; 0.1187
301; 0.1230
302; 0.1234
303; 0.1142
304; 0.1109
305; 0.1124
306; 0.1187
307; 0.1170
308; 0.1127
309; 0.1164
310; 0.1146
311; 0.1226
312; 0.1205
313; 0.1172
314; 0.1144
315; 0.1156
316; 0.1171
317; 0.1119
318; 0.1141
319; 0.1116
320; 0.1135
321; 0.1170
322; 0.1133
323; 0.1120
324; 0.1104
325; 0.1133
326; 0.1113
327; 0.1122
328; 0.1109
329; 0.1161
330; 0.1163
331; 0.1137
332; 0.1128
333; 0.1112
334; 0.1101
335; 0.1150
336; 0.1117
337; 0.1140
338; 0.1106
339; 0.1108
340; 0.1140
341; 0.1100
342; 0.1146
343; 0.1193
344; 0.1119
345; 0.1075
346; 0.1089
347; 0.1099
348; 0.1086
349; 0.1228
350; 0.1146
351; 0.1098
352; 0.1195
353; 0.1123
354; 0.1129
355; 0.1103
356; 0.1074
357; 0.1117
358; 0.1085
359; 0.1077
360; 0.1084
361; 0.1093
362; 0.1081
363; 0.1074
364; 0.1074
365; 0.1063
366; 0.1063
367; 0.1061
368; 0.1085
369; 0.1065
370; 0.1059
371; 0.1056
372; 0.1064
373; 0.1054
374; 0.1051
375; 0.1053
376; 0.1054
377; 0.1054
378; 0.1044
379; 0.1052
380; 0.1053
381; 0.1055
382; 0.1046
383; 0.1046
384; 0.1045
385; 0.1043
386; 0.1053
387; 0.1037
388; 0.1047
389; 0.1039
390; 0.1038
391; 0.1059
392; 0.1046
393; 0.1045
394; 0.1040
395; 0.1034
396; 0.1043
397; 0.1045
398; 0.1038
399; 0.1036
400; 0.1037
401; 0.1036
402; 0.1039
403; 0.1035
404; 0.1030
405; 0.1032
406; 0.1033
407; 0.1031
408; 0.1033
409; 0.1023
410; 0.1043
411; 0.1041
412; 0.1037
413; 0.1033
414; 0.1030
415; 0.1026
416; 0.1021
417; 0.1024
418; 0.1022
419; 0.1027
420; 0.1022
421; 0.1021
422; 0.1022
423; 0.1029
424; 0.1023
425; 0.1022
426; 0.1034
427; 0.1021
428; 0.1020
429; 0.1020
430; 0.1014
431; 0.1025
432; 0.1024
433; 0.1015
434; 0.1025
435; 0.1017
436; 0.1019
437; 0.1029
438; 0.1025
439; 0.1012
440; 0.1018
441; 0.1028
442; 0.1020
443; 0.1010
444; 0.1013
445; 0.1014
446; 0.1022
447; 0.1125
448; 0.1013
449; 0.1013
450; 0.1020
451; 0.1030
452; 0.1019
453; 0.1020
454; 0.1039
455; 0.1008
456; 0.1014
457; 0.1009
458; 0.1008
459; 0.1007
460; 0.1012
461; 0.1002
462; 0.1007
463; 0.1006
464; 0.1016
465; 0.1016
466; 0.1014
467; 0.1020
468; 0.1001
469; 0.1011
470; 0.1008
471; 0.1006
472; 0.0994
473; 0.0997
474; 0.1009
475; 0.1007
476; 0.1009
477; 0.1007
478; 0.1016
479; 0.1001
480; 0.1001
481; 0.1000
482; 0.1004
483; 0.0999
484; 0.1000
485; 0.0991
486; 0.1007
487; 0.0997
488; 0.1001
489; 0.0989
490; 0.1005
491; 0.1001
492; 0.1006
493; 0.1002
494; 0.1003
495; 0.0993
496; 0.1005
497; 0.0988
498; 0.0992
499; 0.1000
500; 0.1008
